Model,Precision on 0,Precision on 1,Recall on 0,Recall on 1,F1 score on 0,F1 score on 1,Support on 0,Support on 1,Accuracy
Random Forest Classifier,0.84,0.18,0.51,0.53,0.64,0.27,4251,859,0.52
Decision Tree Classifier,0.85,0.18,0.45,0.59,0.59,0.27,4251,859,0.48
Gradient Boosting Classifier,0.83,0.0,1.0,0.0,0.91,0.0,4251,859,0.83
Logistic Regression,0.84,0.18,0.55,0.5,0.66,0.27,4251,859,0.54
Linear Support Vector Classifier,0.84,0.18,0.55,0.49,0.67,0.27,4251,859,0.54
Ada Boost Classifier,0.83,0.0,1.0,0.0,0.91,0.0,4251,859,0.83
Neural Network,0.83,0.0,1.0,0.0,0.91,0.0,4251,859,0.83
Neural Network with SMOTE,0.83,0.17,0.45,0.55,0.58,0.26,4251,859,0.46
Random Forest Classifier on a balanced dataset,0.53,0.52,0.63,0.42,0.58,0.47,1158,1118,0.53
Decision Tree Classifier on a balanced set,0.52,0.51,0.64,0.4,0.57,0.45,1158,1118,0.52
Gradient Boosting Classifier on a balanced set,0.59,0.56,0.54,0.61,0.57,0.59,1158,1118,0.58
Neural Network on a balanced set,0.54,0.52,0.51,0.54,0.52,0.53,1158,1118,0.53
