CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,DAYS_BIRTH_CLEAN,Letter,Main_ID
F,Y,N,0.0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-4454.0,1.0,0.0,0.0,1.0,Cooking staff,2.0,15/03/1977,R,6639843
F,Y,N,1.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1800.0,1.0,1.0,0.0,0.0,Laborers,3.0,09/08/1990,U,5787940
F,Y,Y,1.0,58500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1305.0,1.0,0.0,1.0,0.0,Cooking staff,3.0,25/05/1982,K,5243045
M,Y,N,0.0,225000.0,Pensioner,Higher education,Widow,House / apartment,365243.0,1.0,0.0,0.0,0.0,,1.0,25/05/1962,O,5735626
F,Y,Y,0.0,,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,21/10/1958,I,6815451
F,N,Y,0.0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-7152.0,1.0,0.0,0.0,0.0,Core staff,,26/08/1962,M,5241945
M,Y,N,0.0,225000.0,Commercial associate,Higher education,Married,House / apartment,-1555.0,1.0,0.0,0.0,0.0,Managers,2.0,28/11/1995,Q,6032894
F,N,Y,0.0,99000.0,State servant,,Married,House / apartment,-3633.0,1.0,0.0,0.0,0.0,,2.0,19/01/1969,B,5508924
F,N,Y,0.0,135000.0,Pensioner,,Single / not married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,1.0,29/11/1959,D,5602709
F,N,Y,0.0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-180.0,1.0,0.0,1.0,0.0,Security staff,2.0,14/05/1979,U,5383264
F,N,Y,0.0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243.0,1.0,0.0,0.0,0.0,,1.0,13/10/1959,M,6723091
F,Y,Y,1.0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-1429.0,1.0,1.0,0.0,0.0,Sales staff,3.0,17/09/1990,F,6658778
F,N,Y,0.0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-542.0,1.0,0.0,0.0,0.0,,1.0,17/09/1989,U,6192254
F,N,N,0.0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-884.0,1.0,0.0,0.0,0.0,Core staff,2.0,21/11/1970,Q,6690768
F,Y,Y,0.0,382500.0,Working,Higher education,Married,House / apartment,,1.0,0.0,0.0,0.0,Core staff,2.0,23/01/1982,G,5178396
M,N,Y,0.0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1616.0,1.0,0.0,,0.0,Laborers,2.0,26/04/1981,G,5956980
F,N,N,,157500.0,State servant,Higher education,Separated,House / apartment,-7789.0,1.0,1.0,1.0,0.0,Accountants,,13/01/1972,O,6430188
F,Y,Y,0.0,337500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4266.0,1.0,0.0,0.0,0.0,Cooking staff,2.0,17/11/1973,B,5866276
F,N,Y,1.0,99000.0,Working,Secondary / secondary special,Widow,House / apartment,-401.0,1.0,1.0,0.0,0.0,,2.0,29/12/1983,Q,6434562
M,Y,Y,0.0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-2026.0,1.0,0.0,,0.0,Drivers,2.0,15/08/1976,X,5045917
F,N,Y,0.0,211500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-96.0,1.0,0.0,0.0,0.0,Cleaning staff,2.0,15/11/1965,T,6607996
F,N,Y,1.0,247500.0,Working,Secondary / secondary special,Widow,House / apartment,-2998.0,1.0,0.0,0.0,1.0,Sales staff,2.0,08/02/1983,W,5949213
F,N,Y,0.0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-1374.0,1.0,0.0,0.0,0.0,Laborers,2.0,23/05/1976,U,5970216
M,Y,N,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1813.0,1.0,0.0,0.0,0.0,Drivers,3.0,23/02/1983,K,6366494
F,N,Y,0.0,112500.0,State servant,Higher education,Married,Municipal apartment,-4540.0,1.0,0.0,0.0,0.0,Accountants,2.0,23/12/1961,C,5048467
F,N,N,0.0,180000.0,State servant,Secondary / secondary special,Married,Municipal apartment,-5877.0,1.0,0.0,0.0,0.0,Core staff,2.0,09/09/1987,X,5969359
